,#queryName,queryLength,firstQueryPos,lastQueryPos,hitName,hitLength,firstHitPos,lastHitPos,frame,hitDescription,numberOfHits,coverage,identity,evalue,score,hspLength,relIdentity
0,2701_g,1881,1.0,1806.0,Q7RHP3,516.0,1.0,516.0,1.0,GAF domain protein,10,1.18,256.0,1.9999999999999998e-110,405.0,608.0,0.43
1,2702_g,1383,1.0,1380.0,Q7RHP2,553.0,57.0,553.0,1.0,Putative uncharacterized protein PY03942 ,27,0.93,259.0,4e-134,483.0,512.0,0.51
2,2703_g,435,31.0,429.0,Q4Z126,111.0,9.0,105.0,1.0,Putative uncharacterized protein,3,1.2,38.0,2e-09,66.0,133.0,0.29
3,2704_g,543,1.0,540.0,Q8I1Q2,187.0,1.0,187.0,1.0,"Bet3 transport protein, putative",30,1.0,154.0,2.0000000000000002e-72,276.0,187.0,0.83
4,2705_g,972,,,,,,,,,0,,,,,,
5,2706_g,1983,1.0,1824.0,Q4Y9H0,878.0,1.0,641.0,1.0,"Exonuclease i, putative",30,0.75,269.0,3e-124,451.0,661.0,0.41
6,2707_g,1434,4.0,1428.0,Q8IDQ7,517.0,3.0,515.0,1.0,"tRNA guanosine-2'-O-methyltransferase, ",30,1.02,261.0,3e-134,484.0,527.0,0.5
7,2708_g,2802,142.0,2799.0,Q4Z6K2,954.0,45.0,954.0,1.0,"Histidine kinase DhkG, putative",8,0.99,366.0,2e-161,575.0,946.0,0.39
8,2709_g,1977,1.0,1953.0,B3LBA5,667.0,1.0,651.0,1.0,"DNA replication licensing factor MCM5, ",30,0.98,620.0,0.0,1262.0,651.0,0.96
9,2710_g,1155,100.0,1152.0,P0CG71,838.0,1.0,836.0,1.0,Polyubiquitin-A,30,0.42,303.0,3e-158,563.0,356.0,0.86
10,2711_g,3942,232.0,3930.0,Q9U445,1264.0,48.0,1259.0,1.0,P-type ATPase4,30,0.98,870.0,0.0,1635.0,1235.0,0.71
11,2712_g,4296,136.0,4287.0,Q8II17,1517.0,108.0,1516.0,1.0,DNA-directed RNA polymerase,30,0.95,724.0,0.0,1333.0,1446.0,0.51
12,2713_g,1506,1.0,1503.0,Q8MV47,487.0,1.0,487.0,1.0,Coatomer delta subunit,30,1.03,384.0,0.0,719.0,502.0,0.77
13,2714_g,2859,851.0,1357.0,B4KQQ1,321.0,34.0,321.0,-3.0,GI19695,5,0.49,35.0,5e-08,66.0,157.0,0.23
14,2715_g,1377,,,,,,,,,0,,,,,,
15,2716_g,528,22.0,522.0,Q8I3Y9,179.0,8.0,176.0,1.0,"Kinase binding protein CGI-121, putative ",6,0.94,67.0,1e-27,127.0,169.0,0.4
16,2717_g,1857,1.0,1848.0,Q8I3Y8,604.0,1.0,604.0,1.0,"Myo-inositol 1-phosphate synthase, putative ",30,1.03,395.0,0.0,721.0,624.0,0.64
17,2718_g,8691,1135.0,8634.0,Q8IEI2,2900.0,214.0,2900.0,1.0,Putative uncharacterized protein,13,0.26,229.0,5e-78,300.0,766.0,0.3
